Id,Type,Zoning Class,Lot Frontage,Lot Area,Alley,Lot Shape,Land Contour,Lot Config,Land Slope,Nbhd,Location Condition,Bldg Type,House Style,OvQual,Overall Cond,Built,Year Remod Add,Roof Style,Roof Material,Exterior Primary,Masonry/Veneer,Masonry/Veneer Area,Exterior Qual,Exterior Cond,Foundation,Basement Height,Basement Cond,Basement Exposure,Basement Finish,Basement Finished Area,Basement Unfinished Area,Basement Area,Heating Qual,CentralAir,Electrical,1st Floor Area,2nd Floor Area,Living Area Above Grade,Basement Full Baths,Basement Half baths,Full Baths Above Grade,Half Baths Above Grade,Bedrooms Above Grade,Kitchens Above Grade,Kitchen Qual,Total Rooms Above Grade,Functionality,Fireplaces,Fireplce Qual,Garage Type,Garage Yr Built,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck Area,Open Porch Area,Enclosed Porch Area,3 Season Porch Area,Screen Porch Area,Pool Area,Pool Qual,Fence,Sale Type,Sale Condition,Sale Price
880,1-STORY 1946 & NEWER,Resid Low Density,NA,7000,NA,Slightly irregular,Level,Cul-de-sac,Gentle,College Creek,Normal,1-family Detached,1 story,5,8,1978,2005,Gable,Composite Shingle,Vinyl Siding,Brick Face,90,Good,Good,Cinder Block,"Typical (80-89"")",Average,No Exposure,Avg Living Quarters,646,218,864,Excellent,Y,Standard Circuit Breakers & Romex,864,0,864,1,0,1,0,3,1,Average,6,Typical Functionality,0,No Fireplace,Attached to home,1978,Unfinished,1,336,Average,Average,Paved ,0,0,0,0,0,0,No Pool,Good Wood,Warranty Deed - Conventional,Normal Sale,136500
881,1-STORY 1946 & NEWER,Resid Low Density,60,7024,NA,Regular,Level,Inside lot,Gentle,Edwards,Normal,1-family Detached,1 story,5,5,2005,2006,Gable,Composite Shingle,Vinyl Siding,None,0,Average,Average,Poured Contrete,"Excellent (100+"")",Good,No Exposure,Avg Living Quarters,980,110,1090,Good,Y,Standard Circuit Breakers & Romex,1090,0,1090,1,0,1,1,2,1,Average,5,Typical Functionality,0,No Fireplace,Attached to home,2005,Finished,2,450,Average,Average,Paved ,0,49,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,157000
882,1-1/2 STORY ALL AGES,Resid Low Density,44,13758,NA,Slightly irregular,Level,Cul-de-sac,Gentle,Timberland,Normal,1-family Detached,1.5 story: 2nd level fin,7,5,1990,1991,Gable,Composite Shingle,Hard Board,Brick Face,117,Good,Good,Cinder Block,"Good (90-99"")",Average,Min Exposure,Low Quality,902,254,1156,Excellent,Y,Standard Circuit Breakers & Romex,1187,530,1717,0,0,2,1,3,1,Good,7,Typical Functionality,1,Average,Attached to home,1990,Rough Finished,2,400,Average,Average,Paved ,168,36,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,187500
883,2-STORY 1946 & NEWER,Resid Low Density,NA,9636,NA,Slightly irregular,Level,Corner lot,Gentle,Gilbert,Normal,1-family Detached,2 story,6,5,1992,1993,Gable,Composite Shingle,Vinyl Siding,None,0,Average,Average,Poured Contrete,"Good (90-99"")",Average,No Exposure,Unfinshed,0,808,808,Good,Y,Standard Circuit Breakers & Romex,808,785,1593,0,0,2,1,3,1,Average,7,Typical Functionality,1,Average,Built-In (Garage with Room),1993,Rough Finished,2,389,Average,Average,Paved ,342,40,0,0,0,0,No Pool,Minimum Privacy,Warranty Deed - Conventional,Normal Sale,178000
884,2-1/2 STORY ALL AGES,Resid Low Density,60,6204,NA,Regular,Banked,Inside lot,Gentle,South & West of Iowa State,Normal,1-family Detached,2.5 story: 3rd level fin,4,5,1912,1950,Gable,Composite Shingle,Wood Siding,None,0,Good,Average,Poured Contrete,"Typical (80-89"")",Fair,No Exposure,Unfinshed,0,795,795,Average,N,Standard Circuit Breakers & Romex,954,795,2230,1,0,1,0,5,1,Average,10,Typical Functionality,0,No Fireplace,Detached from home,1997,Unfinished,1,440,Average,Good,Paved ,0,188,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,118500
885,1-STORY 1946 & NEWER,Resid Low Density,65,7150,NA,Regular,Level,Inside lot,Gentle,North Ames,Normal,1-family Detached,1 story,5,5,1967,1967,Gable,Composite Shingle,Hard Board,Brick Face,60,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Below Avg Living Quarters,432,460,892,Average,Y,Standard Circuit Breakers & Romex,892,0,892,0,0,1,0,3,1,Average,5,Typical Functionality,0,No Fireplace,Attached to home,1967,Rough Finished,1,288,Average,Average,Paved ,0,0,0,0,0,0,No Pool,Good Wood,Warranty Deed - Conventional,Normal Sale,100000
886,1-STORY PUD,Floating Village Resid,50,5119,NA,Slightly irregular,Level,Cul-de-sac,Gentle,Somerset,Normal,Townhouse End Unit,1 story,9,5,1999,2000,Gable,Composite Shingle,Metal Siding,Brick Face,60,Good,Average,Poured Contrete,"Excellent (100+"")",Average,Avg Exposure,Good Living Quarters,1238,460,1698,Excellent,Y,Standard Circuit Breakers & Romex,1709,0,1709,1,0,2,0,2,1,Good,5,Typical Functionality,1,Average,Attached to home,1999,Finished,2,506,Average,Average,Paved ,97,65,0,0,0,0,No Pool,No Fence,Warranty Deed - Cash,"Abnormal Sale -  trade, foreclosure, short sale",328900
887,DUPLEX,Resid Low Density,70,8393,NA,Regular,Level,Corner lot,Gentle,North Ames,Normal,Duplex,1 story,5,5,1959,2005,Gable,Composite Shingle,Metal Siding,Brick Face,122,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Low Quality,528,1098,1626,Excellent,Y,Standard Circuit Breakers & Romex,1712,0,1712,0,0,2,0,4,2,Average,8,Typical Functionality,0,No Fireplace,Attached to home,2005,Finished,2,588,Average,Average,Paved ,272,54,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Sale between family members,145000
888,1-1/2 STORY ALL AGES,Resid Low Density,59,16466,NA,Slightly irregular,Level,Inside lot,Gentle,Edwards,Normal,1-family Detached,1.5 story: 2nd level fin,5,7,1955,1955,Gable,Composite Shingle,Metal Siding,None,0,Average,Good,Poured Contrete,"Typical (80-89"")",Average,No Exposure,Unfinshed,0,816,816,Average,Y,Standard Circuit Breakers & Romex,872,521,1393,0,0,1,1,3,1,Average,8,Typical Functionality,0,No Fireplace,Attached to home,1955,Unfinished,1,300,Average,Average,Paved ,121,0,0,0,265,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,135500
889,1-STORY 1946 & NEWER,Resid Low Density,95,15865,NA,Slightly irregular,Level,Inside lot,Moderate,North Ames,Normal,1-family Detached,1 story,8,6,1970,1970,Flat,Gravel & Tar,Wood Siding,None,0,Good,Good,Poured Contrete,"Typical (80-89"")",Good,Good Exposure,Avg Living Quarters,351,1043,2217,Excellent,Y,Standard Circuit Breakers & Romex,2217,0,2217,1,0,2,0,4,1,Good,8,Typical Functionality,1,Average,Attached to home,1970,Unfinished,2,621,Average,Average,Paved ,81,207,0,0,224,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,268000
890,1-STORY 1946 & NEWER,Resid Low Density,128,12160,NA,Regular,Level,Inside lot,Gentle,North Ames,Adjacent Feeder St,1-family Detached,1 story,6,4,1953,1953,Hip,Composite Shingle,Wood Siding,Brick Face,90,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Below Avg Living Quarters,1024,481,1505,Excellent,Y,Standard Circuit Breakers & Romex,1505,0,1505,1,0,1,0,2,1,Average,6,Typical Functionality,1,Average,Attached to home,1953,Rough Finished,2,505,Average,Average,Paved ,0,0,0,162,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,149500
891,1-1/2 STORY ALL AGES,Resid Low Density,60,8064,NA,Regular,Level,Corner lot,Gentle,North Ames,Adjacent Arterial St,1-family Detached,1.5 story: 2nd level fin,5,7,1949,2006,Gable,Composite Shingle,Metal Siding,None,0,Average,Good,Cinder Block,"Typical (80-89"")",Average,Min Exposure,Unfinshed,0,672,672,Excellent,Y,Standard Circuit Breakers & Romex,672,252,924,0,0,1,0,3,1,Average,6,Typical Functionality,1,Poor,Detached from home,2003,Unfinished,2,576,Average,Average,Paved ,0,0,0,0,0,0,No Pool,Minimum Privacy,Warranty Deed - Conventional,Normal Sale,122900
892,2-STORY 1946 & NEWER,Resid Low Density,70,11184,NA,Regular,Level,Inside lot,Gentle,Sawyer,Normal,1-family Detached,2 story,6,5,1978,1978,Hip,Composite Shingle,Hard Board,Brick Face,92,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Low Quality,226,192,918,Good,Y,Standard Circuit Breakers & Romex,918,765,1683,0,0,2,1,3,1,Average,7,Typical Functionality,1,Average,Attached to home,1978,Rough Finished,2,440,Average,Average,Paved ,243,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,172500
893,1-STORY 1946 & NEWER,Resid Low Density,70,8414,NA,Regular,Level,Inside lot,Gentle,Sawyer,Normal,1-family Detached,1 story,6,8,1963,2003,Hip,Composite Shingle,Hard Board,None,0,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Good Living Quarters,663,396,1059,Average,Y,Standard Circuit Breakers & Romex,1068,0,1068,0,1,1,0,3,1,Average,6,Typical Functionality,0,No Fireplace,Attached to home,1963,Rough Finished,1,264,Average,Average,Paved ,192,0,0,0,0,0,No Pool,Minimum Privacy,Warranty Deed - Conventional,Normal Sale,154500
894,1-STORY 1946 & NEWER,Resid Low Density,NA,13284,NA,Regular,Level,Inside lot,Gentle,Sawyer,Near Pos Feature,1-family Detached,1 story,5,5,1954,1954,Gable,Composite Shingle,Wood Siding,None,0,Average,Average,Poured Contrete,"Good (90-99"")",Average,Min Exposure,Below Avg Living Quarters,1064,319,1383,Average,Y,Standard Circuit Breakers & Romex,1383,0,1383,1,0,1,0,3,1,Average,6,Typical Functionality,1,Good,Attached to home,1954,Unfinished,1,354,Average,Average,Paved ,511,116,0,0,0,0,No Pool,Good Privacy,Warranty Deed - Conventional,Normal Sale,165000
895,DUPLEX,Resid Low Density,64,7018,NA,Regular,Banked,Inside lot,Gentle,Sawyer West,Normal,Duplex,1 story,5,5,1979,1979,Gable,Composite Shingle,Plywood,None,0,Average,Average,Slab,No Basement,No Basement,No Basement,No Basement,0,0,0,Average,Y,Standard Circuit Breakers & Romex,1535,0,1535,0,0,2,0,4,2,Average,8,Typical Functionality,0,No Fireplace,Attached to home,1979,Unfinished,2,400,Average,Average,Paved ,0,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,"Allocation - two linked properties with separate deeds, typically condo with a garage unit",118858
896,2-STORY 1946 & NEWER,Resid Low Density,71,7056,NA,Regular,Level,Inside lot,Gentle,North Ames,Normal,1-family Detached,2 story,6,5,1963,1963,Hip,Composite Shingle,Hard Board,Brick Face,415,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Below Avg Living Quarters,400,380,780,Average,Y,Standard Circuit Breakers & Romex,983,813,1796,1,0,1,1,4,1,Average,8,Typical Functionality,1,Average,Attached to home,1963,Rough Finished,2,483,Average,Average,Paved ,0,50,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,140000
897,1-STORY 1945 & OLDER,Resid Med Density,50,8765,Grvl,Regular,Level,Inside lot,Gentle,Iowa DOT and Rail Road,Normal,1-family Detached,1 story,4,6,1936,1950,Gable,Composite Shingle,Wood Siding,None,0,Average,Average,Brick & Tile,"Typical (80-89"")",Average,No Exposure,Avg Living Quarters,285,666,951,Excellent,N,Standard Circuit Breakers & Romex,951,0,951,0,0,1,0,2,1,Average,6,Typical Functionality,0,No Fireplace,Detached from home,1936,Unfinished,1,327,Average,Average,Paved ,0,28,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",106500
898,DUPLEX,Resid Low Density,64,7018,NA,Regular,Level,Inside lot,Gentle,Sawyer West,Adjacent Feeder St,Duplex,2 story,5,5,1979,1979,Gable,Composite Shingle,Plywood,None,0,Average,Average,Slab,No Basement,No Basement,No Basement,No Basement,0,0,0,Average,Y,Standard Circuit Breakers & Romex,1120,1120,2240,0,0,2,0,6,2,Average,12,Typical Functionality,0,No Fireplace,Detached from home,1979,Unfinished,2,528,Average,Average,Paved ,154,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,"Allocation - two linked properties with separate deeds, typically condo with a garage unit",142953
899,1-STORY 1946 & NEWER,Resid Low Density,100,12919,NA,Slightly irregular,Level,Inside lot,Gentle,Northridge Heights,Normal,1-family Detached,1 story,9,5,2009,2010,Hip,Composite Shingle,Vinyl Siding,Stone,760,Excellent,Average,Poured Contrete,"Excellent (100+"")",Average,Good Exposure,Good Living Quarters,2188,142,2330,Excellent,Y,Standard Circuit Breakers & Romex,2364,0,2364,1,0,2,1,2,1,Excellent,11,Typical Functionality,2,Good,Attached to home,2009,Finished,3,820,Average,Average,Paved ,0,67,0,0,0,0,No Pool,No Fence,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),611657
900,1-STORY 1946 & NEWER,Resid Low Density,65,6993,NA,Regular,Level,Inside lot,Gentle,Sawyer,Adjacent Feeder St,1-family Detached,1 story,5,7,1961,1994,Gable,Composite Shingle,Hard Board,None,0,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Below Avg Living Quarters,465,447,912,Average,Y,Standard Circuit Breakers & Romex,1236,0,1236,0,0,1,0,3,1,Average,6,Typical Functionality,1,Average,Attached to home,1961,Unfinished,1,288,Average,Average,Paved ,0,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,135000
901,1-STORY 1946 & NEWER,Resid Low Density,NA,7340,NA,Slightly irregular,Level,Inside lot,Gentle,North Ames,Normal,1-family Detached,1 story,4,6,1971,1971,Gable,Composite Shingle,Hard Board,None,0,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Avg Living Quarters,322,536,858,Average,Y,Standard Circuit Breakers & Romex,858,0,858,0,0,1,0,2,1,Average,4,Typical Functionality,0,No Fireplace,Detached from home,1979,Unfinished,1,684,Average,Average,Paved ,0,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,110000
902,1-STORY 1946 & NEWER,Resid Low Density,64,8712,NA,Slightly irregular,Level,Inside lot,Gentle,North Ames,Normal,1-family Detached,1 story,5,7,1957,2000,Hip,Composite Shingle,Metal Siding,None,0,Average,Good,Cinder Block,"Typical (80-89"")",Average,Min Exposure,Below Avg Living Quarters,860,132,992,Average,Y,Standard Circuit Breakers & Romex,1306,0,1306,1,0,1,0,2,1,Average,5,Typical Functionality,0,No Fireplace,Detached from home,1968,Unfinished,1,756,Average,Average,Paved ,0,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,153000
903,2-STORY 1946 & NEWER,Resid Low Density,63,7875,NA,Regular,Level,Inside lot,Gentle,Gilbert,Normal,1-family Detached,2 story,7,5,2003,2003,Gable,Composite Shingle,Vinyl Siding,None,0,Good,Average,Poured Contrete,"Good (90-99"")",Average,No Exposure,Unfinshed,0,783,783,Excellent,Y,Standard Circuit Breakers & Romex,807,702,1509,0,0,2,1,3,1,Good,8,Typical Functionality,1,Good,Attached to home,2003,Finished,2,393,Average,Average,Paved ,0,75,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,180000
904,1-STORY 1946 & NEWER,Resid Low Density,50,14859,NA,Slightly irregular,Hillside,Cul-de-sac,Gentle,Gilbert,Normal,1-family Detached,1 story,7,5,2006,2006,Hip,Composite Shingle,Vinyl Siding,Brick Face,27,Good,Average,Poured Contrete,"Good (90-99"")",Average,No Exposure,Unfinshed,0,1670,1670,Excellent,Y,Standard Circuit Breakers & Romex,1670,0,1670,0,0,2,0,3,1,Good,7,Typical Functionality,1,Good,Attached to home,2006,Rough Finished,3,690,Average,Average,Paved ,144,60,0,0,0,0,No Pool,No Fence,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),240000
905,1-STORY 1946 & NEWER,Resid Low Density,NA,6173,NA,Slightly irregular,Level,Inside lot,Gentle,Sawyer,Normal,1-family Detached,1 story,5,6,1967,1967,Gable,Composite Shingle,Hard Board,Brick Face,75,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Good Living Quarters,599,277,876,Average,Y,Standard Circuit Breakers & Romex,902,0,902,0,0,1,0,3,1,Average,6,Typical Functionality,0,No Fireplace,Attached to home,1967,Unfinished,1,288,Average,Average,Paved ,0,0,0,0,0,0,No Pool,Minimum Privacy,Warranty Deed - Conventional,Normal Sale,125500
906,1-STORY 1946 & NEWER,Resid Low Density,80,9920,NA,Regular,Level,Inside lot,Gentle,North Ames,Normal,1-family Detached,1 story,5,5,1954,1954,Gable,Composite Shingle,Hard Board,Stone,110,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Avg Rec Room,354,412,1056,Average,Y,Standard Circuit Breakers & Romex,1063,0,1063,1,0,1,0,3,1,Average,6,Typical Functionality,0,No Fireplace,Attached to home,1954,Rough Finished,1,280,Average,Average,Paved ,0,0,164,0,0,0,No Pool,Minimum Privacy,Warranty Deed - Conventional,Normal Sale,128000
907,1-STORY 1946 & NEWER,Resid Low Density,116,13501,NA,Slightly irregular,Level,Corner lot,Gentle,Somerset,Normal,1-family Detached,1 story,8,5,2006,2006,Gable,Composite Shingle,Vinyl Siding,Stone,208,Good,Average,Poured Contrete,"Good (90-99"")",Average,No Exposure,Good Living Quarters,63,1560,1623,Excellent,Y,Standard Circuit Breakers & Romex,1636,0,1636,1,0,2,0,3,1,Good,8,Typical Functionality,1,Good,Attached to home,2006,Rough Finished,3,865,Average,Average,Paved ,0,60,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,255000
908,1-1/2 STORY ALL AGES,Resid Low Density,86,11500,NA,Slightly irregular,Level,Inside lot,Gentle,Crawford,Normal,1-family Detached,1.5 story: 2nd level fin,7,7,1936,1987,Gable,Composite Shingle,Brick Face,None,0,Good,Average,Cinder Block,"Good (90-99"")",Average,No Exposure,Avg Rec Room,223,794,1017,Good,Y,Standard Circuit Breakers & Romex,1020,1037,2057,0,0,1,1,3,1,Good,6,Typical Functionality,1,Good,Attached to home,1936,Finished,1,180,Fair,Average,Paved ,0,0,0,0,322,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,250000
909,1-STORY 1946 & NEWER,Resid Low Density,NA,8885,NA,Slightly irregular,Depression,Inside lot,Moderate,Mitchell,Normal,1-family Detached,1 story,5,5,1983,1983,Gable,Composite Shingle,Hard Board,None,0,Average,Average,Cinder Block,"Good (90-99"")",Average,Avg Exposure,Below Avg Living Quarters,301,239,864,Average,Y,Standard Circuit Breakers & Romex,902,0,902,1,0,1,0,2,1,Average,5,Typical Functionality,0,No Fireplace,Attached to home,1983,Unfinished,2,484,Average,Average,Paved ,164,0,0,0,0,0,No Pool,Minimum Privacy,Warranty Deed - Conventional,Normal Sale,131000
910,2-STORY 1946 & NEWER,Resid Low Density,149,12589,NA,Irregular,Level,Inside lot,Gentle,Gilbert,Normal,1-family Detached,2 story,6,5,2005,2005,Gable,Composite Shingle,Vinyl Siding,None,0,Good,Average,Poured Contrete,"Good (90-99"")",Average,No Exposure,Unfinshed,0,742,742,Excellent,Y,Standard Circuit Breakers & Romex,742,742,1484,0,0,2,1,3,1,Good,8,Typical Functionality,1,Good,Attached to home,2005,Finished,2,390,Average,Average,Paved ,36,24,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,174000
911,DUPLEX,Resid Low Density,80,11600,NA,Regular,Level,Corner lot,Gentle,North Ames,Adjacent Feeder St,Duplex,2 story,5,5,1960,1960,Gable,Composite Shingle,Metal Siding,Brick Face,361,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Avg Rec Room,443,662,1105,Average,Y,Fuse Box over 60 AMP and all Romex wiring (Average),1105,1169,2274,0,0,2,0,5,2,Average,12,Typical Functionality,0,No Fireplace,Detached from home,1960,Unfinished,2,480,Average,Average,Paved ,0,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,154300
912,1-STORY 1946 & NEWER,Resid Low Density,NA,9286,NA,Slightly irregular,Level,Cul-de-sac,Moderate,College Creek,Normal,1-family Detached,1 story,5,7,1977,1989,Gable,Composite Shingle,Hard Board,None,0,Average,Average,Cinder Block,"Good (90-99"")",Good,Avg Exposure,Avg Living Quarters,196,1072,1268,Average,Y,Standard Circuit Breakers & Romex,1268,0,1268,0,0,1,1,3,1,Good,5,Typical Functionality,0,No Fireplace,Detached from home,1978,Unfinished,1,252,Average,Average,Paved ,173,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,143500
913,1-STORY 1945 & OLDER,Resid Med Density,51,6120,NA,Regular,Level,Inside lot,Gentle,Brookside,Normal,1-family Detached,1 story,5,7,1925,1950,Gable,Composite Shingle,Metal Siding,None,0,Average,Average,Brick & Tile,"Typical (80-89"")",Average,No Exposure,Avg Rec Room,489,279,768,Average,N,Standard Circuit Breakers & Romex,1015,0,1015,0,0,1,0,3,1,Average,6,Minor Deductions 1,0,No Fireplace,Detached from home,1925,Unfinished,1,450,Average,Average,Paved ,0,0,112,0,120,0,No Pool,Minimum Privacy,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",88000
914,DUPLEX,Resid High Density,82,6270,NA,Regular,Hillside,Inside lot,Gentle,Crawford,Normal,Duplex,2 story,5,6,1949,1950,Gable,Composite Shingle,Metal Siding,None,0,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Below Avg Living Quarters,284,717,1001,Average,N,Fuse Box over 60 AMP and all Romex wiring (Average),1001,1001,2002,0,0,2,0,4,2,Average,8,Typical Functionality,0,No Fireplace,More than one type of garage,1949,Unfinished,3,871,Average,Average,Paved ,0,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,145000
915,2-STORY PUD,Floating Village Resid,30,3000,Pave,Regular,Level,Inside lot,Gentle,Somerset,Normal,Townhouse End Unit,2 story,6,5,2009,2009,Gable,Composite Shingle,Vinyl Siding,Stone,76,Good,Average,Poured Contrete,"Good (90-99"")",Average,Avg Exposure,Good Living Quarters,294,318,612,Excellent,Y,Standard Circuit Breakers & Romex,612,612,1224,0,0,2,1,2,1,Good,4,Typical Functionality,0,No Fireplace,Detached from home,2009,Rough Finished,2,528,Average,Average,Paved ,0,234,0,0,0,0,No Pool,No Fence,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),173733
916,2-STORY PUD,Resid Med Density,21,2001,NA,Regular,Level,Inside lot,Gentle,Meadow Village,Normal,Townhouse,2 story,4,5,1970,1970,Gable,Composite Shingle,Cement Board,Brick Face,80,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Unfinshed,0,546,546,Fair,Y,Standard Circuit Breakers & Romex,546,546,1092,0,0,1,1,3,1,Average,6,Typical Functionality,0,No Fireplace,Attached to home,1970,Unfinished,1,286,Average,Average,Paved ,0,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,75000
917,1-STORY 1946 & NEWER,Commercial,50,9000,NA,Regular,Level,Inside lot,Gentle,Iowa DOT and Rail Road,Normal,1-family Detached,1 story,2,3,1949,1950,Gable,Composite Shingle,Asbestos Shingles,None,0,Average,Average,Cinder Block,"Typical (80-89"")",Average,Avg Exposure,Below Avg Living Quarters,50,430,480,Average,N,Fuse Box over 60 AMP and all Romex wiring (Average),480,0,480,1,0,0,0,1,1,Average,4,Typical Functionality,0,No Fireplace,Detached from home,1958,Unfinished,1,308,Average,Average,Paved ,0,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",35311
918,1-STORY 1946 & NEWER,Resid Low Density,NA,17140,NA,Regular,Level,Inside lot,Gentle,Edwards,Normal,1-family Detached,1 story,4,6,1956,1956,Gable,Composite Shingle,Vinyl Siding,None,0,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Avg Living Quarters,1059,75,1134,Excellent,Y,Fuse Box over 60 AMP and all Romex wiring (Average),1229,0,1229,0,0,1,0,3,1,Average,6,Typical Functionality,0,No Fireplace,Attached to home,1956,Rough Finished,1,284,Average,Average,Paved ,0,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,135000
919,2-STORY 1946 & NEWER,Resid Low Density,103,13125,NA,Slightly irregular,Level,Corner lot,Gentle,Sawyer West,Normal,1-family Detached,2 story,7,5,1991,1991,Gable,Composite Shingle,Hard Board,None,0,Good,Average,Poured Contrete,"Excellent (100+"")",Average,Min Exposure,Below Avg Living Quarters,48,422,1104,Excellent,Y,Standard Circuit Breakers & Romex,912,1215,2127,1,0,2,1,4,1,Good,8,Typical Functionality,1,Average,Attached to home,1991,Rough Finished,3,833,Average,Average,Paved ,72,192,224,0,0,0,No Pool,Good Privacy,Warranty Deed - Conventional,Normal Sale,238000
920,1-STORY 1946 & NEWER,Resid Low Density,87,11029,NA,Slightly irregular,Level,Corner lot,Gentle,North Ames,Normal,1-family Detached,1 story,6,8,1958,2002,Hip,Composite Shingle,Metal Siding,None,0,Excellent,Average,Cinder Block,"Good (90-99"")",Average,No Exposure,Avg Living Quarters,528,245,1184,Excellent,Y,Standard Circuit Breakers & Romex,1414,0,1414,1,0,1,0,3,1,Average,6,Minor Deductions 1,1,Average,Attached to home,1990,Unfinished,2,601,Average,Average,Paved ,0,51,0,0,190,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,176500
921,2-STORY 1946 & NEWER,Resid Low Density,70,8462,NA,Slightly irregular,Level,Inside lot,Gentle,Sawyer West,Normal,1-family Detached,2 story,6,5,1994,1994,Gable,Composite Shingle,Hard Board,Brick Face,105,Good,Good,Poured Contrete,"Good (90-99"")",Good,No Exposure,Good Living Quarters,814,114,928,Excellent,Y,Standard Circuit Breakers & Romex,936,785,1721,0,1,2,1,3,1,Good,7,Typical Functionality,0,No Fireplace,Attached to home,1994,Rough Finished,2,471,Average,Average,Paved ,300,87,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,201000
922,DUPLEX,Resid Low Density,67,8777,NA,Regular,Level,Inside lot,Gentle,Edwards,Adjacent Feeder St,Duplex,1.5 story: 2nd level fin,5,7,1900,2003,Gable,Composite Shingle,Metal Siding,None,0,Average,Average,Cinder Block,"Typical (80-89"")",Average,No Exposure,Avg Living Quarters,1084,188,1272,Good,Y,Standard Circuit Breakers & Romex,1272,928,2200,2,0,2,2,4,2,Average,9,Typical Functionality,0,No Fireplace,No Garage,NA,No Garage,0,0,No Garage,No Garage,Dirt/Gravel,0,70,0,0,0,0,No Pool,Good Privacy,Warranty Deed - Conventional,Normal Sale,145900
923,1-STORY 1946 & NEWER,Resid Low Density,65,10237,NA,Regular,Level,Inside lot,Gentle,Gilbert,Adjacent Railroad,1-family Detached,1 story,6,5,2005,2006,Gable,Composite Shingle,Vinyl Siding,None,0,Good,Average,Poured Contrete,"Good (90-99"")",Average,No Exposure,Good Living Quarters,28,1288,1316,Excellent,Y,Standard Circuit Breakers & Romex,1316,0,1316,0,0,2,0,3,1,Good,6,Typical Functionality,1,Good,Attached to home,2005,Finished,2,397,Average,Average,Paved ,100,0,0,23,0,0,No Pool,No Fence,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),169990
